А а,а,a,[a],
Қ қ,қ,ķ/q,[q],
Х х,ха,x,[x],
йи,[ji],
Б б,бе,b,[b],
Л л,ел,l,[ɬ],
Ц ц,це,c,[ʦ],
ле,[ɬe],
В в,ве,v,[β],
М м,ем,m,[m],
Ч ч,че,č,[ʨ],
лё,[ɬo],
Г г,ге,g,[ɣ],
Н н,ен,n,[n],
Ш ш,ша,š,[ʃ],
ль,[ɬʔ],
Д д,де,d,[d],
Ң ң,ең,n’/ṇ,[ŋ],
Щ щ,ща,šč,[ʆƫʆ],
лю,[ɬu],
Е е,е,je,[je, e],
О о,о,o,[o],
Ъ ъ,ъ,’’,[ʔ],
ля,[ɬa],
Ё ё,ё,jo,[jo, o],
П п,пе,p,[p],
Ы ы,ы,y,[ə],
че,[ʨe],
Ж ж,же,ž,[ʒ],
Р р,ер,r,[ɹ/ts],
Ь ь,ь,’,[ʔ],
чь,[ʨʔ],
З з,зе,z,[z],
С с,ес,s,[s],
Э э,э,e,[e],
И и,и,i,[i],
Т т,те,t,[t],
Ю ю,ю,ju,[ju, u],
Й й,й,j,[j],
У у,у,u,[u],
Я я,я,ja,[ja, a],
К к,ка,k,[k],
Ф ф,еф,f,[f],
’,’,[ʔ],

